rozmiar tablicy;dodanie na start;usuniecie ze startu;dodanie na koncu;usuniecie z konca;dodanie na pozycji;usuniecie z pozycji;szukanie;
100;0.00178001;0.00127144;0.00101715;0.00127144;0.00101715;0.000762862;0.000508575;
100;0.0020343;0.00101715;0.00101715;0.000762862;0.00101715;0.00101715;0.000508575;
100;0.00330574;0.00101715;0.000762862;0.00101715;0.00127144;0.00101715;0.000508575;
100;0.00305145;0.00152572;0.00101715;0.00127144;0.00127144;0.00127144;0.000508575;
100;0.00228859;0.00101715;0.00101715;0.00101715;0.00127144;0.00101715;0.000508575;
100;0.00228859;0.00127144;0.00101715;0.00101715;0.00127144;0.000762862;0.000508575;
100;0.00254287;0.00127144;0.00101715;0.00101715;0.00101715;0.00101715;0.000508575;
100;0.00228859;0.00101715;0.00127144;0.00101715;0.00127144;0.00101715;0.000508575;
100;0.0020343;0.000762862;0.000762862;0.000762862;0.00101715;0.000762862;0.000508575;
100;0.00228859;0.00101715;0.000762862;0.000762862;0.00101715;0.000762862;0.000508575;
100;0.00356002;0.00101715;0.00101715;0.00101715;0.00101715;0.00101715;0.000508575;
100;0.00305145;0.00178001;0.00127144;0.00101715;0.00152572;0.00152572;0.000762862;
100;0.00279716;0.00101715;0.000762862;0.00101715;0.00127144;0.00101715;0.000254287;
100;0.00305145;0.00127144;0.00101715;0.00101715;0.00127144;0.00101715;0.000254287;
100;0.0020343;0.00101715;0.000762862;0.00101715;0.00101715;0.000762862;0.000508575;
100;0.0020343;0.00101715;0.000762862;0.000762862;0.00101715;0.000762862;0.000254287;
100;0.00305145;0.00101715;0.00127144;0.00101715;0.00127144;0.00101715;0.000254287;
100;0.00254287;0.00127144;0.00101715;0.00127144;0.00127144;0.00127144;0.000508575;
100;0.00305145;0.00127144;0.00101715;0.00101715;0.00127144;0.000762862;0.000254287;
100;0.00228859;0.00101715;0.000762862;0.000762862;0.00101715;0.00127144;0.00101715;
100;0.00254287;0.000762862;0.000762862;0.00101715;0.00101715;0.00101715;0.000254287;
100;0.00305145;0.00101715;0.00101715;0.00101715;0.00101715;0.000762862;0.000254287;
100;0.00254287;0.00127144;0.00101715;0.00101715;0.00101715;0.00101715;0.000254287;
100;0.00254287;0.00101715;0.00101715;0.00101715;0.000762862;0.00101715;0.000254287;
100;0.00178001;0.00127144;0.000762862;0.000762862;0.00101715;0.00101715;0.000508575;
100;0.00178001;0.00101715;0.00101715;0.000762862;0.00101715;0.00101715;0.000508575;
100;0.0020343;0.000762862;0.00101715;0.000762862;0.00101715;0.00101715;0.000508575;
100;0.00254287;0.00152572;0.00127144;0.00127144;0.00127144;0.00152572;0.000508575;
100;0.0020343;0.00101715;0.00101715;0.00101715;0.00101715;0.00101715;0.000508575;
100;0.00381431;0.00101715;0.000762862;0.00101715;0.00101715;0.00101715;0.000508575;
100;0.00279716;0.00101715;0.00101715;0.00101715;0.000762862;0.00101715;0.000508575;
100;0.00279716;0.00101715;0.00152572;0.00127144;0.00178001;0.0020343;0.000508575;
100;0.0020343;0.00101715;0.000762862;0.000762862;0.000762862;0.00101715;0.000508575;
100;0.00228859;0.00127144;0.00101715;0.00101715;0.00127144;0.00101715;0.000254287;
100;0.00279716;0.00127144;0.000762862;0.000762862;0.00101715;0.000762862;0.000254287;
100;0.00178001;0.000762862;0.000762862;0.000762862;0.00101715;0.000762862;0.000508575;
100;0.00228859;0.0020343;0.00152572;0.00101715;0.00127144;0.00127144;0.000508575;
100;0.00254287;0.00101715;0.00127144;0.00152572;0.00127144;0.00127144;0.000254287;
100;0.00254287;0.000762862;0.000762862;0.00101715;0.00101715;0.000762862;0.000254287;
100;0.00254287;0.00101715;0.00101715;0.000762862;0.00101715;0.000762862;0.000508575;
100;0.00254287;0.00152572;0.00178001;0.00101715;0.00101715;0.000762862;0.000254287;
1000;0.00381431;0.00254287;0.00178001;0.00152572;0.00178001;0.0020343;0.00178001;
1000;0.00534003;0.00279716;0.0020343;0.0020343;0.00254287;0.0020343;0.00178001;
1000;0.0040686;0.00254287;0.00152572;0.0020343;0.00178001;0.00178001;0.00178001;
1000;0.00381431;0.00178001;0.00152572;0.00152572;0.00178001;0.00152572;0.00178001;
1000;0.00432288;0.0020343;0.00178001;0.00178001;0.0020343;0.00152572;0.00254287;
1000;0.00508575;0.00228859;0.0020343;0.0040686;0.00228859;0.00178001;0.00101715;
1000;0.0040686;0.00254287;0.00152572;0.00178001;0.00178001;0.00228859;0.00127144;
1000;0.00432288;0.0020343;0.00178001;0.00152572;0.00228859;0.00152572;0.00127144;
1000;0.0040686;0.0020343;0.00228859;0.00178001;0.00178001;0.00178001;0.00101715;
1000;0.00457717;0.00178001;0.00178001;0.00152572;0.00178001;0.00152572;0.00101715;
1000;0.0040686;0.0020343;0.00178001;0.00254287;0.00178001;0.00152572;0.00152572;
